楽曲レベル,TOTAL値,COMPLEX,POWER,RHYTHM,SCRATCH,HOLDING,GIMMICK,フルタイトル
6,380,29.50,42.09,47.42,18.26,12.71,0.00,Comet (BMS Edit) [SP NORMAL]
6,374,48.01,56.87,35.18,13.77,0.00,0.00,Ego Eater [Normal]
6,320,24.89,41.69,28.02,6.71,0.00,0.00,Electric Emotion
6,370,41.74,46.17,61.46,19.15,32.91,0.00,Error Sector
6,321,24.27,23.68,24.13,4.92,40.82,0.00,EXCEED THE D[NORMAL]
6,290,18.10,29.57,24.60,16.05,8.18,21.59,Gimme All The Cocaine [NORMAL]
6,350,25.90,28.41,39.82,6.11,0.00,0.00,Good Life [Normal]
6,410,28.64,44.07,52.23,9.59,27.84,0.00,GOODRUSH [N]
6,410,28.64,44.07,52.23,9.59,27.84,0.00,GOODRUSH [N]
6,350,27.37,39.88,47.34,12.90,12.13,69.52,Head BONK ache [SP NORMAL]
6,356,22.79,35.64,36.87,27.19,11.78,0.00,Heartstrings
6,160,30.47,38.89,28.62,8.85,19.79,0.00,Hi-Fi-Story [SP NORMAL]
6,328,26.46,33.32,34.17,17.49,67.80,0.00,HOPE [7key Normal HOPE]
6,160,35.26,33.47,27.64,5.76,0.00,0.00,INLINE [7k Normal]
6,321,25.65,31.42,26.64,18.42,59.63,0.00,JKillMe[SP NORMAL]
6,360,28.81,34.17,36.46,18.45,36.26,0.00,Kirakirize World [NORMAL]
6,353,28.15,29.72,30.99,34.66,47.04,0.00,Kung-fu Fantasia [凡]
6,300,24.02,24.47,20.55,11.96,13.85,0.00,KVEYKVA
6,350,23.42,31.43,26.75,14.81,28.17,0.00,LiVEMeTAL[NORMAL]
6,368,23.87,44.13,36.87,45.81,0.00,0.00,On And On!!
6,360,33.37,38.49,31.21,7.22,5.79,18.03,Opera House
6,384,48.14,46.03,45.58,35.15,28.22,0.00,Ops:Limone [SP NORMAL]
6,380,24.40,51.68,54.94,19.46,0.00,0.00,Palette Lab [NORMAL]
6,370,26.98,31.56,33.31,7.91,0.00,0.00,PhonDrome![NORMAL]
6,400,28.70,45.73,50.68,10.72,18.00,0.00,Pillars of Ash [NORMAL]
6,400,38.10,56.17,45.39,6.48,19.23,0.00,Prominence (BMS Edit) [SP NORMAL]
6,350,30.05,35.90,20.82,11.90,0.00,0.00,rainbow
6,315,29.99,39.50,49.80,9.55,0.00,0.00,reflection [7KEYS NORMAL]
6,350,27.64,36.84,49.19,11.12,4.05,0.00,Rush-Hour [SP Normal]
6,277,17.50,24.28,25.04,3.46,14.30,0.00,scorching:cyclone [SP NORMAL]
6,333,27.77,30.60,41.75,10.89,23.93,0.00,scualee[NORMAL]
6,333,27.77,30.60,41.75,10.89,23.93,0.00,scualee[NORMAL]
6,384,25.25,35.09,57.18,36.75,12.86,0.00,Secret Order [NORMAL]
6,383,27.61,40.42,34.77,12.10,10.31,0.00,self-dissociation [SP NORMAL]
6,333,47.41,41.65,59.91,5.00,14.41,0.00,Sesame Kingdom [Sesame Caravan]
6,370,27.81,35.69,42.59,8.43,10.14,0.00,Sweet Pie
6,350,32.14,33.76,19.38,5.91,34.01,0.00,The Last Page [SP NORMAL]
6,340,29.22,38.91,31.60,7.38,15.77,0.00,Unleashed World [NORMAL]
6,338,24.20,37.51,20.30,7.78,0.00,0.00,お兄火[SP Normal]
6,380,35.51,34.42,33.94,6.23,34.39,0.00,アルスノヴァに喝采を [SP NORMAL]
6,380,24.92,41.53,59.09,16.68,0.00,0.00,イナリッチ
6,435,35.10,45.42,60.75,24.43,19.35,23.23,クエンさん＊ガバメント
6,308,20.35,36.59,20.39,17.99,7.09,0.00,妹 [Normal Sister]
6,280,28.63,53.24,65.78,6.13,7.17,0.00,廃液 [Normal_7K]
6,328,20.66,31.97,32.33,4.63,26.70,0.00,戦　- IKUSA - [7KEYS NORMAL]
6,315,30.51,35.99,21.87,14.12,30.95,6.67,翼の折れた天使たちのレクイエム [Normal]
6,370,30.00,25.40,29.38,11.66,18.06,0.00,花たちに希望を [SP NORMAL]
7,500,37.33,55.40,70.64,62.37,20.02,0.00,"Flanker-E" [NORMAL]
7,365,33.49,35.41,35.93,10.35,49.32,0.00,"Fulcrum-D"
7,349,39.12,61.10,106.54,5.76,0.00,0.00,Amplifying Effect -SP NORMAL-
7,394,36.10,49.47,55.00,15.04,40.09,0.00,Back Out [SP NORMAL]
7,428,41.47,39.34,85.88,14.36,65.02,13.80,Cat's rule [Normal]
7,400,42.80,40.62,33.61,17.73,33.36,0.00,Cutter [SP NORMAL]
7,364,29.52,39.92,32.20,20.16,15.28,0.00,GIFT [7key Normal]
7,400,24.38,53.56,50.35,55.51,28.78,0.00,GOODFORTUNE [N]
7,450,52.40,51.91,62.07,15.65,0.00,0.00,Lacrimosa [SP Normal]
7,360,34.83,50.22,41.47,14.33,0.00,0.00,LAST PROPOZE[NORMAL]
7,351,34.91,26.17,23.14,7.56,79.36,28.30,MOBILYS [NORMAL]
7,340,28.79,44.52,58.66,27.96,0.00,0.00,Never Escape
7,390,50.17,52.42,52.67,14.69,25.32,0.00,Nothing is 4ever [7KEYS NORMAL]
7,376,29.97,62.23,71.52,36.66,0.00,0.00,Q33B [NORMAL]
7,383,30.86,50.19,49.51,3.33,18.05,0.00,Roject-HAB
7,370,30.78,48.50,13.71,6.23,0.00,0.00,Vis10ns [NORMAL]
